Census,School,Category,Year,Students
17-Feb-16,St Jude's Primary School,Non Gov,Year 3,54
17-Feb-16,St Jude's Primary School,Non Gov,Year 4,48
17-Feb-16,St Jude's Primary School,Non Gov,Year 5,41
17-Feb-16,St Jude's Primary School,Non Gov,Year 6,37
17-Feb-16,St Mary MacKillop College,Non Gov,Year 10,313
17-Feb-16,St Mary MacKillop College,Non Gov,Year 11,273
17-Feb-16,St Mary MacKillop College,Non Gov,Year 12,247
17-Feb-16,St Mary MacKillop College,Non Gov,Year 7,338
17-Feb-16,St Mary MacKillop College,Non Gov,Year 8,338
17-Feb-16,St Mary MacKillop College,Non Gov,Year 9,318
17-Feb-16,St Matthew's Primary School,Non Gov,Kindergarten,51
17-Feb-16,St Matthew's Primary School,Non Gov,Year 1,52
17-Feb-16,St Matthew's Primary School,Non Gov,Year 2,45
17-Feb-16,St Matthew's Primary School,Non Gov,Year 3,49
17-Feb-16,St Matthew's Primary School,Non Gov,Year 4,43
17-Feb-16,St Matthew's Primary School,Non Gov,Year 5,52
17-Feb-16,St Matthew's Primary School,Non Gov,Year 6,49
17-Feb-16,St Michael's Primary School,Non Gov,Kindergarten,22
17-Feb-16,St Michael's Primary School,Non Gov,Year 1,26
17-Feb-16,St Michael's Primary School,Non Gov,Year 2,24
17-Feb-16,St Michael's Primary School,Non Gov,Year 3,35
17-Feb-16,St Michael's Primary School,Non Gov,Year 4,42
17-Feb-16,St Michael's Primary School,Non Gov,Year 5,14
17-Feb-16,St Michael's Primary School,Non Gov,Year 6,32
17-Feb-16,St Monica's Primary School,Non Gov,Kindergarten,57
17-Feb-16,St Monica's Primary School,Non Gov,Year 1,70
17-Feb-16,St Monica's Primary School,Non Gov,Year 2,74
17-Feb-16,St Monica's Primary School,Non Gov,Year 3,64
17-Feb-16,St Monica's Primary School,Non Gov,Year 4,64
17-Feb-16,St Monica's Primary School,Non Gov,Year 5,74
17-Feb-16,St Monica's Primary School,Non Gov,Year 6,60
17-Feb-16,St Thomas Aquinas Primary School,Non Gov,Kindergarten,47
17-Feb-16,St Thomas Aquinas Primary School,Non Gov,Preschool,55
17-Feb-16,St Thomas Aquinas Primary School,Non Gov,Year 1,55
17-Feb-16,St Thomas Aquinas Primary School,Non Gov,Year 2,47
17-Feb-16,St Thomas Aquinas Primary School,Non Gov,Year 3,48
17-Feb-16,St Thomas Aquinas Primary School,Non Gov,Year 4,46
17-Feb-16,St Thomas Aquinas Primary School,Non Gov,Year 5,33
17-Feb-16,St Thomas Aquinas Primary School,Non Gov,Year 6,37
17-Feb-16,St Thomas More's Primary School,Non Gov,Kindergarten,17
17-Feb-16,St Thomas More's Primary School,Non Gov,Year 1,25
17-Feb-16,St Thomas More's Primary School,Non Gov,Year 2,20
17-Feb-16,St Thomas More's Primary School,Non Gov,Year 3,25
17-Feb-16,St Thomas More's Primary School,Non Gov,Year 4,30
17-Feb-16,St Thomas More's Primary School,Non Gov,Year 5,18
17-Feb-16,St Thomas More's Primary School,Non Gov,Year 6,19
17-Feb-16,St Thomas The Apostle Primary School,Non Gov,Kindergarten,43
17-Feb-16,St Thomas The Apostle Primary School,Non Gov,Year 1,48
17-Feb-16,St Thomas The Apostle Primary School,Non Gov,Year 2,51
17-Feb-16,St Thomas The Apostle Primary School,Non Gov,Year 3,41
17-Feb-16,St Thomas The Apostle Primary School,Non Gov,Year 4,39
17-Feb-16,St Thomas The Apostle Primary School,Non Gov,Year 5,30
17-Feb-16,St Thomas The Apostle Primary School,Non Gov,Year 6,35
17-Feb-16,St Vincent's Primary School,Non Gov,Kindergarten,14
17-Feb-16,St Vincent's Primary School,Non Gov,Year 1,26
17-Feb-16,St Vincent's Primary School,Non Gov,Year 2,20
17-Feb-16,St Vincent's Primary School,Non Gov,Year 3,26
17-Feb-16,St Vincent's Primary School,Non Gov,Year 4,42
17-Feb-16,St Vincent's Primary School,Non Gov,Year 5,20
17-Feb-16,St Vincent's Primary School,Non Gov,Year 6,25
17-Feb-16,Sts Peter & Paul Primary School,Non Gov,Kindergarten,37
17-Feb-16,Sts Peter & Paul Primary School,Non Gov,Year 1,48
17-Feb-16,Sts Peter & Paul Primary School,Non Gov,Year 2,43
17-Feb-16,Sts Peter & Paul Primary School,Non Gov,Year 3,55
17-Feb-16,Sts Peter & Paul Primary School,Non Gov,Year 4,37
17-Feb-16,Sts Peter & Paul Primary School,Non Gov,Year 5,38
17-Feb-16,Sts Peter & Paul Primary School,Non Gov,Year 6,45
17-Feb-16,Taqwa School,Non Gov,Kindergarten,18
17-Feb-16,Taqwa School,Non Gov,Year 1,20
17-Feb-16,Taqwa School,Non Gov,Year 2,7
17-Feb-16,Taqwa School,Non Gov,Year 3,11
17-Feb-16,Taqwa School,Non Gov,Year 4,5
17-Feb-16,Taylor Primary School,Gov,Kindergarten,47
17-Feb-16,Taylor Primary School,Gov,Preschool,66
17-Feb-16,Taylor Primary School,Gov,Year 1,37
17-Feb-16,Taylor Primary School,Gov,Year 2,27
17-Feb-16,Taylor Primary School,Gov,Year 3,33
17-Feb-16,Taylor Primary School,Gov,Year 4,21
17-Feb-16,Taylor Primary School,Gov,Year 5,28
17-Feb-16,Taylor Primary School,Gov,Year 6,26
17-Feb-16,Telopea Park School,Gov,Kindergarten,88
17-Feb-16,Telopea Park School,Gov,Year 1,90
17-Feb-16,Telopea Park School,Gov,Year 10,208
17-Feb-16,Telopea Park School,Gov,Year 2,80
17-Feb-16,Telopea Park School,Gov,Year 3,73
17-Feb-16,Telopea Park School,Gov,Year 4,75
17-Feb-16,Telopea Park School,Gov,Year 5,68
17-Feb-16,Telopea Park School,Gov,Year 6,50
17-Feb-16,Telopea Park School,Gov,Year 7,210
17-Feb-16,Telopea Park School,Gov,Year 8,202
17-Feb-16,Telopea Park School,Gov,Year 9,217
17-Feb-16,Theodore Primary School,Gov,Kindergarten,51
17-Feb-16,Theodore Primary School,Gov,Preschool,61
17-Feb-16,Theodore Primary School,Gov,Year 1,45
17-Feb-16,Theodore Primary School,Gov,Year 2,27
17-Feb-16,Theodore Primary School,Gov,Year 3,42
17-Feb-16,Theodore Primary School,Gov,Year 4,42
17-Feb-16,Theodore Primary School,Gov,Year 5,33
17-Feb-16,Theodore Primary School,Gov,Year 6,40
17-Feb-16,Torrens Primary School,Gov,Kindergarten,70
17-Feb-16,Torrens Primary School,Gov,Preschool,66
17-Feb-16,Torrens Primary School,Gov,Year 1,68
17-Feb-16,Torrens Primary School,Gov,Year 2,55
17-Feb-16,Torrens Primary School,Gov,Year 3,62
17-Feb-16,Torrens Primary School,Gov,Year 4,61
17-Feb-16,Torrens Primary School,Gov,Year 5,60
17-Feb-16,Torrens Primary School,Gov,Year 6,58
17-Feb-16,Trinity Christian School,Non Gov,Kindergarten,52
17-Feb-16,Trinity Christian School,Non Gov,Preschool,42
17-Feb-16,Trinity Christian School,Non Gov,Year 1,78
17-Feb-16,Trinity Christian School,Non Gov,Year 10,104
17-Feb-16,Trinity Christian School,Non Gov,Year 11,89
17-Feb-16,Trinity Christian School,Non Gov,Year 12,69
17-Feb-16,Trinity Christian School,Non Gov,Year 2,75
17-Feb-16,Trinity Christian School,Non Gov,Year 3,74
17-Feb-16,Trinity Christian School,Non Gov,Year 4,81
17-Feb-16,Trinity Christian School,Non Gov,Year 5,80
17-Feb-16,Trinity Christian School,Non Gov,Year 6,81
17-Feb-16,Trinity Christian School,Non Gov,Year 7,105
17-Feb-16,Trinity Christian School,Non Gov,Year 8,107
17-Feb-16,Trinity Christian School,Non Gov,Year 9,106
17-Feb-16,Turner School,Gov,Kindergarten,63
17-Feb-16,Turner School,Gov,Preschool,52
17-Feb-16,Turner School,Gov,Year 1,72
17-Feb-16,Turner School,Gov,Year 2,66
17-Feb-16,Turner School,Gov,Year 3,93
17-Feb-16,Turner School,Gov,Year 4,69
17-Feb-16,Turner School,Gov,Year 5,84
17-Feb-16,Turner School,Gov,Year 6,74
17-Feb-16,University of Canberra High School Kaleen,Gov,Year 10,59
17-Feb-16,University of Canberra High School Kaleen,Gov,Year 7,67
17-Feb-16,University of Canberra High School Kaleen,Gov,Year 8,83
17-Feb-16,University of Canberra High School Kaleen,Gov,Year 9,58
17-Feb-16,University of Canberra Senior Secondary College Lake Ginninderra,Gov,Year 10,19
17-Feb-16,University of Canberra Senior Secondary College Lake Ginninderra,Gov,Year 11,359
17-Feb-16,University of Canberra Senior Secondary College Lake Ginninderra,Gov,Year 12,298
17-Feb-16,Wanniassa Hills Primary School,Gov,Kindergarten,73
17-Feb-16,Wanniassa Hills Primary School,Gov,Preschool,61
17-Feb-16,Wanniassa Hills Primary School,Gov,Year 1,47
17-Feb-16,Wanniassa Hills Primary School,Gov,Year 2,42
17-Feb-16,Wanniassa Hills Primary School,Gov,Year 3,47
17-Feb-16,Wanniassa Hills Primary School,Gov,Year 4,44
17-Feb-16,Wanniassa Hills Primary School,Gov,Year 5,55
17-Feb-16,Wanniassa Hills Primary School,Gov,Year 6,34
17-Feb-16,Wanniassa School,Gov,Kindergarten,27
17-Feb-16,Wanniassa School,Gov,Preschool,43
17-Feb-16,Wanniassa School,Gov,Year 1,28
17-Feb-16,Wanniassa School,Gov,Year 10,52
17-Feb-16,Wanniassa School,Gov,Year 2,37
17-Feb-16,Wanniassa School,Gov,Year 3,28
17-Feb-16,Wanniassa School,Gov,Year 4,29
17-Feb-16,Wanniassa School,Gov,Year 5,30
17-Feb-16,Wanniassa School,Gov,Year 6,30
17-Feb-16,Wanniassa School,Gov,Year 7,57
17-Feb-16,Wanniassa School,Gov,Year 8,52
17-Feb-16,Wanniassa School,Gov,Year 9,28
17-Feb-16,Weetangera Primary School,Gov,Kindergarten,51
17-Feb-16,Weetangera Primary School,Gov,Preschool,56
17-Feb-16,Weetangera Primary School,Gov,Year 1,47
17-Feb-16,Weetangera Primary School,Gov,Year 2,54
17-Feb-16,Weetangera Primary School,Gov,Year 3,62
17-Feb-16,Weetangera Primary School,Gov,Year 4,63
17-Feb-16,Weetangera Primary School,Gov,Year 5,63
17-Feb-16,Weetangera Primary School,Gov,Year 6,48
17-Feb-16,The Woden School,Gov,Year 10,26
17-Feb-16,The Woden School,Gov,Year 11,13
17-Feb-16,The Woden School,Gov,Year 12,11
17-Feb-16,The Woden School,Gov,Year 7,16
17-Feb-16,The Woden School,Gov,Year 8,15
17-Feb-16,The Woden School,Gov,Year 9,23
17-Feb-16,Yarralumla Primary School,Gov,Kindergarten,51
17-Feb-16,Yarralumla Primary School,Gov,Preschool,81
17-Feb-16,Yarralumla Primary School,Gov,Year 1,58
17-Feb-16,Yarralumla Primary School,Gov,Year 2,57
17-Feb-16,Yarralumla Primary School,Gov,Year 3,42
17-Feb-16,Yarralumla Primary School,Gov,Year 4,36
17-Feb-16,Yarralumla Primary School,Gov,Year 5,31
17-Feb-16,Yarralumla Primary School,Gov,Year 6,29
07-Aug-15,Ainslie School,Gov,Kindergarten,47
07-Aug-15,Ainslie School,Gov,Preschool,39
07-Aug-15,Ainslie School,Gov,Year 1,46
07-Aug-15,Ainslie School,Gov,Year 2,60
07-Aug-15,Ainslie School,Gov,Year 3,50
07-Aug-15,Ainslie School,Gov,Year 4,49
07-Aug-15,Ainslie School,Gov,Year 5,56
07-Aug-15,Ainslie School,Gov,Year 6,55
07-Aug-15,Alfred Deakin High School,Gov,Year 10,195
07-Aug-15,Alfred Deakin High School,Gov,Year 7,201
07-Aug-15,Alfred Deakin High School,Gov,Year 8,200
07-Aug-15,Alfred Deakin High School,Gov,Year 9,199
07-Aug-15,Amaroo School,Gov,Kindergarten,117
07-Aug-15,Amaroo School,Gov,Preschool,141
07-Aug-15,Amaroo School,Gov,Year 1,118
07-Aug-15,Amaroo School,Gov,Year 10,144
07-Aug-15,Amaroo School,Gov,Year 2,145
07-Aug-15,Amaroo School,Gov,Year 3,149
07-Aug-15,Amaroo School,Gov,Year 4,123
07-Aug-15,Amaroo School,Gov,Year 5,152
07-Aug-15,Amaroo School,Gov,Year 6,168
07-Aug-15,Amaroo School,Gov,Year 7,162
07-Aug-15,Amaroo School,Gov,Year 8,152
07-Aug-15,Amaroo School,Gov,Year 9,150
07-Aug-15,Aranda Primary School,Gov,Kindergarten,84
07-Aug-15,Aranda Primary School,Gov,Preschool,74
07-Aug-15,Aranda Primary School,Gov,Year 1,84
07-Aug-15,Aranda Primary School,Gov,Year 2,68
07-Aug-15,Aranda Primary School,Gov,Year 3,75
07-Aug-15,Aranda Primary School,Gov,Year 4,53
07-Aug-15,Aranda Primary School,Gov,Year 5,66
07-Aug-15,Aranda Primary School,Gov,Year 6,69
07-Aug-15,Arawang Primary School,Gov,Kindergarten,66
07-Aug-15,Arawang Primary School,Gov,Preschool,89
07-Aug-15,Arawang Primary School,Gov,Year 1,60
07-Aug-15,Arawang Primary School,Gov,Year 2,70
07-Aug-15,Arawang Primary School,Gov,Year 3,43
07-Aug-15,Arawang Primary School,Gov,Year 4,58
07-Aug-15,Arawang Primary School,Gov,Year 5,48
07-Aug-15,Arawang Primary School,Gov,Year 6,49
07-Aug-15,Belconnen High School,Gov,Year 10,93
07-Aug-15,Belconnen High School,Gov,Year 7,83
07-Aug-15,Belconnen High School,Gov,Year 8,95
07-Aug-15,Belconnen High School,Gov,Year 9,85
07-Aug-15,Black Mountain School,Gov,Year 10,20
07-Aug-15,Black Mountain School,Gov,Year 11,7
07-Aug-15,Black Mountain School,Gov,Year 12,26
07-Aug-15,Black Mountain School,Gov,Year 7,12
07-Aug-15,Black Mountain School,Gov,Year 8,15
07-Aug-15,Black Mountain School,Gov,Year 9,19
07-Aug-15,Bonython Primary School,Gov,Kindergarten,44
07-Aug-15,Bonython Primary School,Gov,Preschool,49
07-Aug-15,Bonython Primary School,Gov,Year 1,31
07-Aug-15,Bonython Primary School,Gov,Year 2,45
07-Aug-15,Bonython Primary School,Gov,Year 3,38
07-Aug-15,Bonython Primary School,Gov,Year 4,31
07-Aug-15,Bonython Primary School,Gov,Year 5,35
07-Aug-15,Bonython Primary School,Gov,Year 6,30
07-Aug-15,Calwell High School,Gov,Year 10,97
07-Aug-15,Calwell High School,Gov,Year 7,74
07-Aug-15,Calwell High School,Gov,Year 8,81
07-Aug-15,Calwell High School,Gov,Year 9,95
07-Aug-15,Calwell Primary School,Gov,Kindergarten,36
07-Aug-15,Calwell Primary School,Gov,Preschool,69
07-Aug-15,Calwell Primary School,Gov,Year 1,34
07-Aug-15,Calwell Primary School,Gov,Year 2,35
07-Aug-15,Calwell Primary School,Gov,Year 3,38
07-Aug-15,Calwell Primary School,Gov,Year 4,27
07-Aug-15,Calwell Primary School,Gov,Year 5,35
07-Aug-15,Calwell Primary School,Gov,Year 6,47
07-Aug-15,Campbell High School,Gov,Year 10,196
07-Aug-15,Campbell High School,Gov,Year 7,162
07-Aug-15,Campbell High School,Gov,Year 8,178
07-Aug-15,Campbell High School,Gov,Year 9,183
07-Aug-15,Campbell Primary School,Gov,Kindergarten,47
07-Aug-15,Campbell Primary School,Gov,Preschool,82
07-Aug-15,Campbell Primary School,Gov,Year 1,39
07-Aug-15,Campbell Primary School,Gov,Year 2,44
07-Aug-15,Campbell Primary School,Gov,Year 3,39
07-Aug-15,Campbell Primary School,Gov,Year 4,46
07-Aug-15,Campbell Primary School,Gov,Year 5,24
07-Aug-15,Campbell Primary School,Gov,Year 6,34
07-Aug-15,The Canberra College,Gov,Mature,56
07-Aug-15,The Canberra College,Gov,Year 11,524
07-Aug-15,The Canberra College,Gov,Year 12,456
07-Aug-15,Canberra High School,Gov,Year 10,194
07-Aug-15,Canberra High School,Gov,Year 7,197
07-Aug-15,Canberra High School,Gov,Year 8,204
07-Aug-15,Canberra High School,Gov,Year 9,221
07-Aug-15,Caroline Chisholm School,Gov,Kindergarten,40
07-Aug-15,Caroline Chisholm School,Gov,Preschool,49
07-Aug-15,Caroline Chisholm School,Gov,Year 1,34
07-Aug-15,Caroline Chisholm School,Gov,Year 10,87
07-Aug-15,Caroline Chisholm School,Gov,Year 2,43
07-Aug-15,Caroline Chisholm School,Gov,Year 3,40
07-Aug-15,Caroline Chisholm School,Gov,Year 4,39
07-Aug-15,Caroline Chisholm School,Gov,Year 5,33
07-Aug-15,Caroline Chisholm School,Gov,Year 6,36
07-Aug-15,Caroline Chisholm School,Gov,Year 7,76
07-Aug-15,Caroline Chisholm School,Gov,Year 8,77
07-Aug-15,Caroline Chisholm School,Gov,Year 9,81
07-Aug-15,Chapman Primary School,Gov,Kindergarten,81
07-Aug-15,Chapman Primary School,Gov,Preschool,95
07-Aug-15,Chapman Primary School,Gov,Year 1,79
07-Aug-15,Chapman Primary School,Gov,Year 2,83
07-Aug-15,Chapman Primary School,Gov,Year 3,75
07-Aug-15,Chapman Primary School,Gov,Year 4,72
07-Aug-15,Chapman Primary School,Gov,Year 5,72
07-Aug-15,Chapman Primary School,Gov,Year 6,58
07-Aug-15,Charles Conder Primary School,Gov,Kindergarten,46
07-Aug-15,Charles Conder Primary School,Gov,Preschool,88
07-Aug-15,Charles Conder Primary School,Gov,Year 1,32
07-Aug-15,Charles Conder Primary School,Gov,Year 2,30
07-Aug-15,Charles Conder Primary School,Gov,Year 3,38
07-Aug-15,Charles Conder Primary School,Gov,Year 4,44
07-Aug-15,Charles Conder Primary School,Gov,Year 5,30
07-Aug-15,Charles Conder Primary School,Gov,Year 6,41
07-Aug-15,Charnwood-Dunlop School,Gov,Kindergarten,58
07-Aug-15,Charnwood-Dunlop School,Gov,Preschool,81
07-Aug-15,Charnwood-Dunlop School,Gov,Year 1,49
07-Aug-15,Charnwood-Dunlop School,Gov,Year 2,31
07-Aug-15,Charnwood-Dunlop School,Gov,Year 3,35
07-Aug-15,Charnwood-Dunlop School,Gov,Year 4,34
07-Aug-15,Charnwood-Dunlop School,Gov,Year 5,25
07-Aug-15,Charnwood-Dunlop School,Gov,Year 6,40
07-Aug-15,Cranleigh School,Gov,Kindergarten,15
07-Aug-15,Cranleigh School,Gov,Preschool,24
07-Aug-15,Cranleigh School,Gov,Year 1,19
07-Aug-15,Cranleigh School,Gov,Year 2,8
07-Aug-15,Cranleigh School,Gov,Year 3,9
07-Aug-15,Cranleigh School,Gov,Year 4,7
07-Aug-15,Cranleigh School,Gov,Year 5,6
07-Aug-15,Cranleigh School,Gov,Year 6,6
07-Aug-15,Curtin Primary School,Gov,Kindergarten,55
07-Aug-15,Curtin Primary School,Gov,Preschool,64
07-Aug-15,Curtin Primary School,Gov,Year 1,65
07-Aug-15,Curtin Primary School,Gov,Year 2,66
07-Aug-15,Curtin Primary School,Gov,Year 3,80
07-Aug-15,Curtin Primary School,Gov,Year 4,70
07-Aug-15,Curtin Primary School,Gov,Year 5,71
07-Aug-15,Curtin Primary School,Gov,Year 6,55
07-Aug-15,Dickson College,Gov,Year 10,30
07-Aug-15,Dickson College,Gov,Year 11,453
07-Aug-15,Dickson College,Gov,Year 12,386
07-Aug-15,Dickson College,Gov,Year 7,9
07-Aug-15,Dickson College,Gov,Year 8,10
07-Aug-15,Dickson College,Gov,Year 9,19
07-Aug-15,Duffy Primary School,Gov,Kindergarten,45
07-Aug-15,Duffy Primary School,Gov,Preschool,50
07-Aug-15,Duffy Primary School,Gov,Year 1,57
07-Aug-15,Duffy Primary School,Gov,Year 2,46
07-Aug-15,Duffy Primary School,Gov,Year 3,64
07-Aug-15,Duffy Primary School,Gov,Year 4,37
07-Aug-15,Duffy Primary School,Gov,Year 5,46
07-Aug-15,Duffy Primary School,Gov,Year 6,42
07-Aug-15,Erindale College,Gov,Mature,1
07-Aug-15,Erindale College,Gov,Year 10,37
07-Aug-15,Erindale College,Gov,Year 11,276
07-Aug-15,Erindale College,Gov,Year 12,208
07-Aug-15,Erindale College,Gov,Year 9,2
07-Aug-15,Evatt Primary School,Gov,Kindergarten,47
07-Aug-15,Evatt Primary School,Gov,Preschool,44
07-Aug-15,Evatt Primary School,Gov,Year 1,35
07-Aug-15,Evatt Primary School,Gov,Year 2,40
07-Aug-15,Evatt Primary School,Gov,Year 3,40
07-Aug-15,Evatt Primary School,Gov,Year 4,42
07-Aug-15,Evatt Primary School,Gov,Year 5,35
07-Aug-15,Evatt Primary School,Gov,Year 6,31
07-Aug-15,Fadden Primary School,Gov,Kindergarten,51
07-Aug-15,Fadden Primary School,Gov,Preschool,43
07-Aug-15,Fadden Primary School,Gov,Year 1,62
07-Aug-15,Fadden Primary School,Gov,Year 2,45
07-Aug-15,Fadden Primary School,Gov,Year 3,61
07-Aug-15,Fadden Primary School,Gov,Year 4,41
07-Aug-15,Fadden Primary School,Gov,Year 5,37
07-Aug-15,Fadden Primary School,Gov,Year 6,36
07-Aug-15,Farrer Primary School,Gov,Kindergarten,44
07-Aug-15,Farrer Primary School,Gov,Preschool,49
07-Aug-15,Farrer Primary School,Gov,Year 1,39
07-Aug-15,Farrer Primary School,Gov,Year 2,41
07-Aug-15,Farrer Primary School,Gov,Year 3,48
07-Aug-15,Farrer Primary School,Gov,Year 4,51
07-Aug-15,Farrer Primary School,Gov,Year 5,34
07-Aug-15,Farrer Primary School,Gov,Year 6,50
07-Aug-15,Florey Primary School,Gov,Kindergarten,72
07-Aug-15,Florey Primary School,Gov,Preschool,75
07-Aug-15,Florey Primary School,Gov,Year 1,64
07-Aug-15,Florey Primary School,Gov,Year 2,59
07-Aug-15,Florey Primary School,Gov,Year 3,64
07-Aug-15,Florey Primary School,Gov,Year 4,64
07-Aug-15,Florey Primary School,Gov,Year 5,67
07-Aug-15,Florey Primary School,Gov,Year 6,53
07-Aug-15,Forrest Primary School,Gov,Kindergarten,53
07-Aug-15,Forrest Primary School,Gov,Preschool,49
07-Aug-15,Forrest Primary School,Gov,Year 1,57
07-Aug-15,Forrest Primary School,Gov,Year 2,79
07-Aug-15,Forrest Primary School,Gov,Year 3,71
07-Aug-15,Forrest Primary School,Gov,Year 4,68
07-Aug-15,Forrest Primary School,Gov,Year 5,76
07-Aug-15,Forrest Primary School,Gov,Year 6,64
07-Aug-15,Franklin School,Gov,Kindergarten,60
07-Aug-15,Franklin School,Gov,Preschool,136
07-Aug-15,Franklin School,Gov,Year 1,40
07-Aug-15,Franklin School,Gov,Year 2,16
07-Aug-15,Fraser Primary School,Gov,Kindergarten,67
07-Aug-15,Fraser Primary School,Gov,Preschool,68
07-Aug-15,Fraser Primary School,Gov,Year 1,58
07-Aug-15,Fraser Primary School,Gov,Year 2,65
07-Aug-15,Fraser Primary School,Gov,Year 3,57
07-Aug-15,Fraser Primary School,Gov,Year 4,52
07-Aug-15,Fraser Primary School,Gov,Year 5,46
07-Aug-15,Fraser Primary School,Gov,Year 6,43
07-Aug-15,Garran Primary School,Gov,Kindergarten,77
07-Aug-15,Garran Primary School,Gov,Preschool,46
07-Aug-15,Garran Primary School,Gov,Year 1,81
07-Aug-15,Garran Primary School,Gov,Year 2,83
07-Aug-15,Garran Primary School,Gov,Year 3,84
07-Aug-15,Garran Primary School,Gov,Year 4,89
07-Aug-15,Garran Primary School,Gov,Year 5,67
07-Aug-15,Garran Primary School,Gov,Year 6,83
07-Aug-15,Gilmore Primary School,Gov,Kindergarten,15
07-Aug-15,Gilmore Primary School,Gov,Preschool,25
07-Aug-15,Gilmore Primary School,Gov,Year 1,14
07-Aug-15,Gilmore Primary School,Gov,Year 2,10
07-Aug-15,Gilmore Primary School,Gov,Year 3,17
07-Aug-15,Gilmore Primary School,Gov,Year 4,14
07-Aug-15,Gilmore Primary School,Gov,Year 5,12
07-Aug-15,Gilmore Primary School,Gov,Year 6,24
07-Aug-15,Giralang Primary School,Gov,Kindergarten,43
07-Aug-15,Giralang Primary School,Gov,Preschool,68
07-Aug-15,Giralang Primary School,Gov,Year 1,32
07-Aug-15,Giralang Primary School,Gov,Year 2,47
07-Aug-15,Giralang Primary School,Gov,Year 3,25
07-Aug-15,Giralang Primary School,Gov,Year 4,34
07-Aug-15,Giralang Primary School,Gov,Year 5,24
07-Aug-15,Giralang Primary School,Gov,Year 6,20
07-Aug-15,Gold Creek School,Gov,Kindergarten,78
07-Aug-15,Gold Creek School,Gov,Preschool,131
07-Aug-15,Gold Creek School,Gov,Year 1,63
07-Aug-15,Gold Creek School,Gov,Year 10,134
07-Aug-15,Gold Creek School,Gov,Year 2,70
07-Aug-15,Gold Creek School,Gov,Year 3,70
07-Aug-15,Gold Creek School,Gov,Year 4,71
07-Aug-15,Gold Creek School,Gov,Year 5,64
07-Aug-15,Gold Creek School,Gov,Year 6,64
07-Aug-15,Gold Creek School,Gov,Year 7,130
07-Aug-15,Gold Creek School,Gov,Year 8,119
07-Aug-15,Gold Creek School,Gov,Year 9,134
07-Aug-15,Gordon Primary School,Gov,Kindergarten,62
07-Aug-15,Gordon Primary School,Gov,Preschool,111
07-Aug-15,Gordon Primary School,Gov,Year 1,71
07-Aug-15,Gordon Primary School,Gov,Year 2,52
07-Aug-15,Gordon Primary School,Gov,Year 3,65
07-Aug-15,Gordon Primary School,Gov,Year 4,57
07-Aug-15,Gordon Primary School,Gov,Year 5,42
07-Aug-15,Gordon Primary School,Gov,Year 6,44
07-Aug-15,Gowrie Primary School,Gov,Kindergarten,47
07-Aug-15,Gowrie Primary School,Gov,Preschool,42
07-Aug-15,Gowrie Primary School,Gov,Year 1,30
07-Aug-15,Gowrie Primary School,Gov,Year 2,34
07-Aug-15,Gowrie Primary School,Gov,Year 3,28
07-Aug-15,Gowrie Primary School,Gov,Year 4,37
07-Aug-15,Gowrie Primary School,Gov,Year 5,30
07-Aug-15,Gowrie Primary School,Gov,Year 6,25
07-Aug-15,Gungahlin College,Gov,Year 10,23
07-Aug-15,Gungahlin College,Gov,Year 11,474
07-Aug-15,Gungahlin College,Gov,Year 12,457
07-Aug-15,Harrison School,Gov,Kindergarten,168
07-Aug-15,Harrison School,Gov,Preschool,149
07-Aug-15,Harrison School,Gov,Year 1,135
07-Aug-15,Harrison School,Gov,Year 10,101
07-Aug-15,Harrison School,Gov,Year 2,147
07-Aug-15,Harrison School,Gov,Year 3,162
07-Aug-15,Harrison School,Gov,Year 4,148
07-Aug-15,Harrison School,Gov,Year 5,131
07-Aug-15,Harrison School,Gov,Year 6,130
07-Aug-15,Harrison School,Gov,Year 7,98
07-Aug-15,Harrison School,Gov,Year 8,105
07-Aug-15,Harrison School,Gov,Year 9,104
07-Aug-15,Hawker College,Gov,Year 11,221
07-Aug-15,Hawker College,Gov,Year 12,197
07-Aug-15,Hawker Primary School,Gov,Kindergarten,54
07-Aug-15,Hawker Primary School,Gov,Preschool,48
07-Aug-15,Hawker Primary School,Gov,Year 1,46
07-Aug-15,Hawker Primary School,Gov,Year 2,38
07-Aug-15,Hawker Primary School,Gov,Year 3,44
07-Aug-15,Hawker Primary School,Gov,Year 4,51
07-Aug-15,Hawker Primary School,Gov,Year 5,51
07-Aug-15,Hawker Primary School,Gov,Year 6,34
07-Aug-15,Hughes Primary School,Gov,Kindergarten,70
07-Aug-15,Hughes Primary School,Gov,Preschool,46
07-Aug-15,Hughes Primary School,Gov,Year 1,56
07-Aug-15,Hughes Primary School,Gov,Year 2,62
07-Aug-15,Hughes Primary School,Gov,Year 3,59
07-Aug-15,Hughes Primary School,Gov,Year 4,59
07-Aug-15,Hughes Primary School,Gov,Year 5,51
07-Aug-15,Hughes Primary School,Gov,Year 6,49
07-Aug-15,Isabella Plains Early Childhood School,Gov,Kindergarten,48
07-Aug-15,Isabella Plains Early Childhood School,Gov,Preschool,82
07-Aug-15,Isabella Plains Early Childhood School,Gov,Year 1,29
07-Aug-15,Isabella Plains Early Childhood School,Gov,Year 2,22
07-Aug-15,Jervis Bay School,Gov,Kindergarten,7
07-Aug-15,Jervis Bay School,Gov,Preschool,26
07-Aug-15,Jervis Bay School,Gov,Year 1,6
07-Aug-15,Jervis Bay School,Gov,Year 2,10
